,Core_Only,Alpha_Always_Only,Core90_Alpha10,Core85_Alpha15,Core80_Alpha20,Core90_AlphaRegime10,Core85_AlphaRegime15,SPY,QQQ,VT,TOPIX
2022-12-22,-0.08040752082896507,0.0,-0.07067840357705324,-0.06610305619650447,-0.06162731273146904,-0.07218690841123543,-0.06805795311191509,-0.17361440573659837,-0.01222942872142696,-0.09209096729512656,-0.19758331369710347
2022-12-23,-0.08244531440572722,-0.0002119277801225783,-0.07255151623147926,-0.06789181212343265,-0.06333061421229769,-0.07404125021918606,-0.0698192641635701,-0.16928730449297436,-0.028907188462219402,-0.09442485820106561,-0.21459361076436945
2022-12-26,-0.0782242597229248,-0.00013846395914596243,-0.06870478891560627,-0.06423673375071881,-0.05986965813782463,-0.07020614490241162,-0.0661799458077198,-0.14948286975578684,-0.01567547296276184,-0.0895904720051306,-0.20857837460596906
2022-12-27,-0.06890691838004515,0.0,-0.05984834637172909,-0.05561769825845564,-0.05149160247754303,-0.06167087203271948,-0.058041140110304035,-0.14737656550230527,-0.02260589770184185,-0.07891929388598662,-0.20456388579150686
2022-12-28,-0.07041514290981543,0.0,-0.06096145667569064,-0.05653000165858124,-0.05220117672913138,-0.06298742349825648,-0.059260693826830524,-0.14135155625318252,-0.0507034765781772,-0.08064666782331054,-0.21155314469015107
2022-12-29,-0.06783524240434458,-0.006721958702287534,-0.05924715070123132,-0.05525562576585852,-0.05137102948736538,-0.06077293133538719,-0.05723117307775882,-0.1337514779940382,-0.06397467147452607,-0.07769190027638684,-0.2241596484735453
2022-12-30,-0.05999816252208967,-0.0072744784739424695,-0.05218112587115664,-0.04858303867440783,-0.045096165297844215,-0.053676570417727554,-0.05050960815068384,-0.1452501370081417,-0.06704019833985053,-0.06871606991020496,-0.21299682166551315
2023-01-02,-0.061022716556541456,-0.00955599511449845,-0.05332872371682207,-0.04979247219942062,-0.046367721161078346,-0.05473536266369794,-0.051585663507330515,-0.14629306954592702,-0.061668943366409934,-0.06991024868699869,-0.20859769510214188
2023-01-03,-0.055178502961504394,-0.012083026117037488,-0.048267367543506134,-0.04512913363999549,-0.04210600171744483,-0.049585056660747195,-0.04678593764305128,-0.14764621268044142,-0.06278451260815043,-0.0630984695054585,-0.2142458244999762
2023-01-04,-0.0657951525099757,-0.005720717303748457,-0.05727931677157738,-0.05332684584318659,-0.049483043066927634,-0.05882936034228925,-0.055337754994357335,-0.1687980646977626,-0.07591064812386827,-0.07547280716371885,-0.20274111126428374
2023-01-05,-0.08121172984368663,-0.004341575438566392,-0.07114995194769758,-0.0664088632303087,-0.06176796744235813,-0.07272940813671558,-0.06847060290607965,-0.16058062146284946,-0.08412824230895044,-0.09344174666681226,-0.20119192538363329
2023-01-06,-0.08598537112042792,-0.0032930974129325996,-0.07539546567724809,-0.07038436370604617,-0.06547009678472715,-0.0770067611028209,-0.07249618071679997,-0.16960743971249304,-0.09677469299570873,-0.09900571001966796,-0.1979051376732277
2023-01-09,-0.0785700576384839,-0.006081697135206898,-0.0689030472167319,-0.0643638968182133,-0.0599276232470598,-0.07042236238294186,-0.06633369163761649,-0.16249758217548838,-0.09359420145209163,-0.09036272030351589,-0.2076420882154022
2023-01-10,-0.08500730171069759,-0.0063849896079987145,-0.07478576077748478,-0.06996273980956524,-0.06523898181512366,-0.0762841304791414,-0.07190365298325896,-0.16977410925253378,-0.09420774092455719,-0.09786571184284554,-0.22170289227791606
2023-01-11,-0.07874395610467777,-0.007618518158905574,-0.0692006389169445,-0.06472454988233312,-0.060352142988865154,-0.07066218355848497,-0.06660726333448841,-0.14886293508623583,-0.0871375167381474,-0.09056540932787438,-0.23600785274557545
2023-01-12,-0.08810789223171,-0.009552657309872536,-0.07789689421690338,-0.07307844462660573,-0.0683591164226317,-0.07927233325252958,-0.07483519140390205,-0.15138933788903475,-0.10595789672303679,-0.10147963484857692,-0.21644292107167828
2023-01-13,-0.09328636204557861,-0.002578838926507787,-0.0819604446953347,-0.076573711807706,-0.07127966055811208,-0.08358913907103949,-0.0787146837174163,-0.13127690203965037,-0.111304131030455,-0.10751544998379026,-0.22396080104242444
2023-01-16,-0.0908671186099943,-0.003357476157326844,-0.07982759512763737,-0.07458758284531974,-0.06944229333503005,-0.08143145753239456,-0.0766900075071898,-0.1327546642376174,-0.08902937757972085,-0.10469567760524723,-0.2231283774774665
2023-01-17,-0.09680403014333139,-0.006799359632310709,-0.08555347733633045,-0.08020370515512643,-0.07494648320786113,-0.08702046925003304,-0.08210205279942284,-0.13299020931944916,-0.0816183349216486,-0.1116155017574264,-0.21860524502183554
2023-01-18,-0.10115549994416606,-0.006658776435527702,-0.08950563977524117,-0.08395090682108142,-0.0784857168379044,-0.0909714606009191,-0.0858493161628876,-0.11621010733173254,-0.08450054024969056,-0.11668739909937131,-0.2185738930108837
2023-01-19,-0.12432569998335419,-0.007720837233232136,-0.11072644466308645,-0.10416946161938334,-0.09768643086758333,-0.1121192251294032,-0.10596732675627873,-0.12556449097551237,-0.09491258987801976,-0.14369364787732408,-0.21979275244889995
2023-01-20,-0.11670389814273752,-0.003296629386869032,-0.10336379844762067,-0.09694268062172395,-0.09059887960308499,-0.10492645964550906,-0.09899421914253193,-0.1247163261873313,-0.08242483886275098,-0.13480998367521035,-0.2212181259576721
2023-01-23,-0.11757424005427453,0.0,-0.10382423574400379,-0.09719337593111421,-0.09063680010272379,-0.10551974133721886,-0.09944614384901806,-0.11870494977964252,-0.06500933100391915,-0.1358244190337783,-0.21649272046651002
2023-01-24,-0.1257541047441767,0.0,-0.11107190093200792,-0.10396091751120473,-0.09691586467193503,-0.11284509165577172,-0.1063348251705194,-0.11409657692627484,-0.07743066152747191,-0.14535853873977422,-0.22598386754617095
2023-01-25,-0.10926308748074942,0.0,-0.09595399363118229,-0.08955370546655705,-0.0832335464545143,-0.09776801334343677,-0.09198190891324443,-0.11331107575765964,-0.08865301219183364,-0.12613727547642817,-0.22984155134929374
2023-01-26,-0.11614359557542919,0.0,-0.1021283482249341,-0.09536442861226502,-0.08867443548100196,-0.10397414127994986,-0.09784380321737318,-0.11398639216805295,-0.08522391214073743,-0.13415691764651583,-0.25062357578451544
2023-01-27,-0.12054047036224114,0.0,-0.1059604163105281,-0.09890571089268796,-0.09191988861094458,-0.10787332435904029,-0.10148863847474443,-0.10460978390339426,-0.08075128278597499,-0.13928173720514336,-0.2669786230010288
2023-01-30,-0.12883182929162873,-0.002004273470302187,-0.11372554123550827,-0.10639764464563906,-0.09913284697563463,-0.11555031220759993,-0.10885104534269752,-0.10237619190407232,-0.0750311451618827,-0.14894581009081664,-0.2780988090162295
2023-01-31,-0.11891124178691626,-0.003709410222383469,-0.10479361482831107,-0.09797700902289397,-0.09123365220885316,-0.10657633049422655,-0.10036217377010614,-0.09157021230964024,-0.05395465185984982,-0.1373827742204926,-0.2704534062986791
2023-02-01,-0.10587922561207141,-0.0027737372634359936,-0.09279279634489823,-0.0865095350216053,-0.08030984530351937,-0.0946329730552955,-0.08897571656782455,-0.08695027938072353,-0.064536011995589,-0.12219318283583025,-0.27262598607178923
2023-02-02,-0.09353589792480643,-0.0035209290426854167,-0.08158918353179445,-0.07589308553043728,-0.07029061439630224,-0.08342495104483694,-0.07834697247651701,-0.07945784225915853,-0.06370467016544501,-0.1078062989200127,-0.26630038818357904
2023-02-03,-0.08107926007035016,-0.004185020324543709,-0.07029166115658547,-0.06519124178193447,-0.06019367328469527,-0.07212557713850554,-0.06763669309675535,-0.06650504788207712,-0.05517920210514249,-0.0932873452525721,-0.26269007784397747
2023-02-06,-0.08644212578499177,-0.0065525343845218575,-0.07539593634358299,-0.07016186349019027,-0.06502834839213856,-0.07713154426494795,-0.07246131210295326,-0.06962793772759968,-0.04669936889359727,-0.09953808479765192,-0.26017070684867527
2023-02-07,-0.07058384858206102,-0.006197448740014044,-0.06091786512093844,-0.056392260303980035,-0.05197751552828156,-0.06269384470649941,-0.05874565221809991,-0.05684374813401438,-0.05369348073951774,-0.08105431777761163,-0.26829280452957815
2023-02-08,-0.07223562962344865,-0.004797559269692386,-0.06228764789400443,-0.05761833496693358,-0.05305831390755056,-0.06411384926691421,-0.0600482211497434,-0.05826851266815847,-0.060191019351567454,-0.08297956700528208,-0.2674221047648895
2023-02-09,-0.08647284342609884,-0.0025139178455263478,-0.07502336120090192,-0.06958626726070272,-0.06424893677383037,-0.07691066093458387,-0.0721147063299169,-0.07362209233816797,-0.0649724658909957,-0.09957388803872014,-0.26496843919220125
2023-02-10,-0.09022421411233172,-0.0011791680357519096,-0.07831813767209206,-0.07264712500433712,-0.06707261447786483,-0.08024812276465565,-0.07524174302425901,-0.07693293694288406,-0.0452710635023329,-0.10394633410476084,-0.24508014819718515
2023-02-13,-0.08701833990310248,0.0,-0.07516161236451835,-0.06951711062366983,-0.06396999374129109,-0.07719140331371532,-0.07226104118531884,-0.08456490945694084,-0.05602865552517844,-0.10020969668692092,-0.24799013496162892
2023-02-14,-0.09277727349137221,0.0,-0.08038271614675341,-0.07446190050751744,-0.06863424549531993,-0.08241272145211531,-0.07720885285021384,-0.08009217328690388,-0.05930958062934,-0.10692207693903233,-0.24113334576538703
2023-02-15,-0.09123349127639313,0.0,-0.0787722140561864,-0.07281806826546744,-0.06695695710124794,-0.08088644236822906,-0.07569158752078708,-0.08290218086769885,-0.050125834704015326,-0.10512270677881819,-0.24204082633981128
2023-02-16,-0.08608062792201454,-0.0018663012462212247,-0.07424297405545499,-0.06860893869368334,-0.06307281257689046,-0.07629898331401486,-0.07139200059328332,-0.08115393609267896,-0.06207145387853463,-0.09911673749794114,-0.2481833236704153
2023-02-17,-0.0820685702781605,-0.008568492834876706,-0.07120697239561535,-0.06607159986156308,-0.06104060534944278,-0.07302162842642901,-0.06848812276240202,-0.06955848056175606,-0.058777100105337876,-0.09444044524935657,-0.24007713772141115
2023-02-20,-0.07574079030694125,-0.0038293094978957276,-0.06500060697832177,-0.05992960619813015,-0.054964744153014555,-0.06700463240166232,-0.06262918693688435,-0.05247008110279827,-0.07961173365210539,-0.08706504064232401,-0.22240490661443257
2023-02-21,-0.07723584149813034,-0.002336939492937673,-0.06622171583252667,-0.06101089014672623,-0.05590451768983773,-0.06827903306459004,-0.06379162267550065,-0.04878422511073777,-0.07710374759406902,-0.08880761189059716,-0.2197300078740353
2023-02-22,-0.08383515314303869,0.0,-0.07188487625868112,-0.06619536092579081,-0.06060411523566178,-0.07406825543969897,-0.06916954965717181,-0.03595427286937847,-0.07614482490838426,-0.09649950284294984,-0.22587481595556036
2023-02-23,-0.09720030298122229,-0.0012079763873070748,-0.08418252441264917,-0.07794367251991363,-0.07179430700059708,-0.08629223338336944,-0.08081297734294213,-0.03764539565251379,-0.07394962115822268,-0.11207738136251932,-0.22129405931120993
2023-02-24,-0.09781410511217159,-0.001371685609859119,-0.084757922801182,-0.07849920257363874,-0.0723295952011086,-0.08686031573222774,-0.08135773898486032,-0.055179382476825745,-0.08317973625410757,-0.11279280432049188,-0.21845198009789468
2023-02-27,-0.10251640819165608,0.0,-0.08888775185501852,-0.08233482045168694,-0.07586628205351842,-0.09104590361680565,-0.08527991648517597,-0.06811145822392783,-0.08029392032202853,-0.11827361875364772,-0.1971526114286022
2023-02-28,-0.1034017441985664,-0.001448014900037764,-0.08982858444358122,-0.08330359714824132,-0.0768632142676019,-0.09193186049202973,-0.08616611235304006,-0.06995338338955093,-0.08034779533022296,-0.11930553062381988,-0.18973554773234702
